# acceptance rate 2.79
# Om   w   H0   log_like
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.073 -1.029 73.275 -230.177
0.067 -0.969 72.118 -230.431
0.067 -0.969 72.118 -230.431
0.067 -0.969 72.118 -230.431
0.067 -0.969 72.118 -230.431
0.067 -0.969 72.118 -230.431
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.081 -1.020 72.777 -229.348
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.064 -0.933 71.713 -229.140
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
0.009 -0.865 71.787 -229.226
