# acceptance rate 0.51
# Om   w   H0
0.277 -0.870 67.646
0.277 -0.870 67.646
0.277 -0.870 67.646
0.263 -0.840 67.522
0.263 -0.840 67.522
0.263 -0.840 67.522
0.263 -0.840 67.522
0.259 -0.839 67.549
0.249 -0.808 67.464
0.274 -0.899 67.611
0.257 -0.855 67.483
0.257 -0.855 67.483
0.257 -0.855 67.483
0.268 -0.890 67.592
0.268 -0.890 67.592
0.262 -0.873 67.566
0.277 -0.899 67.589
0.290 -0.945 67.875
0.269 -0.874 67.432
0.269 -0.874 67.432
0.269 -0.874 67.432
0.268 -0.870 67.426
0.236 -0.730 66.448
0.236 -0.730 66.448
0.255 -0.805 66.872
0.255 -0.805 66.872
0.255 -0.805 66.872
0.255 -0.805 66.872
0.255 -0.805 66.872
0.299 -0.932 67.316
0.296 -0.890 67.010
0.296 -0.890 67.010
0.300 -0.911 67.076
0.304 -0.922 67.147
0.304 -0.922 67.147
0.304 -0.922 67.147
0.300 -0.920 67.204
0.300 -0.920 67.204
0.303 -0.931 67.236
0.284 -0.853 67.021
0.308 -0.896 66.969
0.308 -0.896 66.969
0.308 -0.896 66.969
0.308 -0.896 66.969
0.322 -0.954 67.269
0.319 -0.948 67.279
0.327 -1.003 67.763
0.327 -1.003 67.763
0.335 -0.998 67.450
0.325 -0.954 67.324
0.325 -0.954 67.324
0.325 -0.954 67.324
0.321 -0.927 67.116
0.321 -0.927 67.116
0.312 -0.886 66.983
0.312 -0.886 66.983
0.312 -0.886 66.983
0.312 -0.886 66.983
0.312 -0.876 66.905
0.308 -0.876 66.940
0.297 -0.910 67.435
0.297 -0.910 67.435
0.313 -0.921 67.113
0.313 -0.921 67.113
0.313 -0.921 67.113
0.315 -0.942 67.260
0.289 -1.058 68.955
0.289 -1.058 68.955
0.289 -1.058 68.955
0.282 -1.003 68.516
0.290 -0.998 68.406
0.290 -0.998 68.406
0.265 -0.919 68.280
0.198 -0.763 67.851
0.198 -0.763 67.851
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.202 -0.763 67.763
0.223 -0.817 67.911
0.221 -0.808 67.881
0.244 -0.864 67.983
0.244 -0.864 67.983
0.234 -0.847 68.038
0.234 -0.847 68.038
0.234 -0.847 68.038
0.248 -0.856 67.877
0.240 -0.874 68.340
0.240 -0.874 68.340
0.251 -0.904 68.364
0.251 -0.904 68.364
0.251 -0.904 68.364
0.254 -0.905 68.378
0.252 -0.903 68.393
0.252 -0.903 68.393
0.252 -0.903 68.393
0.252 -0.903 68.393
0.252 -0.903 68.393
0.252 -0.903 68.393
0.264 -0.933 68.369
0.264 -0.933 68.369
0.242 -0.873 68.219
0.262 -0.887 67.870
0.286 -0.942 67.884
0.303 -0.985 67.991
0.313 -0.999 67.900
0.283 -0.931 67.860
0.272 -0.898 67.820
0.272 -0.898 67.820
0.272 -0.898 67.820
0.298 -0.952 68.081
0.296 -0.946 68.081
0.283 -0.909 67.825
0.264 -0.845 67.649
0.264 -0.845 67.649
0.264 -0.845 67.649
0.264 -0.845 67.649
0.264 -0.845 67.649
0.256 -0.809 67.537
0.256 -0.809 67.537
0.256 -0.809 67.537
0.256 -0.809 67.537
0.260 -0.824 67.580
0.260 -0.824 67.580
0.260 -0.824 67.580
0.260 -0.824 67.580
0.260 -0.827 67.589
0.264 -0.844 67.655
0.280 -0.906 67.774
0.280 -0.906 67.774
0.288 -0.938 67.950
0.288 -0.938 67.950
0.293 -0.956 68.060
0.293 -0.956 68.060
0.293 -0.956 68.060
0.293 -0.956 68.060
0.273 -0.878 67.860
0.246 -0.798 67.325
0.276 -0.883 67.473
0.315 -0.952 67.417
0.314 -0.946 67.390
0.314 -0.946 67.390
0.314 -0.946 67.390
0.328 -1.004 67.492
0.327 -1.005 67.514
0.327 -1.005 67.514
0.290 -0.874 67.133
0.290 -0.874 67.133
0.290 -0.874 67.133
0.290 -0.874 67.133
0.294 -0.897 67.171
0.321 -1.040 67.861
0.321 -1.040 67.861
0.322 -1.050 67.923
0.328 -1.069 68.027
0.375 -1.239 68.479
0.375 -1.239 68.479
0.375 -1.239 68.479
0.375 -1.239 68.479
0.375 -1.239 68.479
0.400 -1.385 68.859
0.400 -1.385 68.859
0.400 -1.385 68.859
0.400 -1.385 68.859
0.400 -1.385 68.859
0.413 -1.431 68.825
0.413 -1.431 68.825
0.413 -1.431 68.825
0.402 -1.354 68.602
0.403 -1.333 68.457
0.403 -1.333 68.457
0.403 -1.333 68.457
0.419 -1.446 68.880
0.419 -1.446 68.880
0.419 -1.446 68.880
0.419 -1.446 68.880
0.413 -1.428 68.909
0.413 -1.428 68.909
0.413 -1.428 68.909
0.387 -1.305 68.461
0.379 -1.195 67.853
0.379 -1.195 67.853
0.379 -1.195 67.853
0.380 -1.204 67.882
0.369 -1.202 68.216
0.356 -1.075 67.672
0.337 -1.027 67.601
0.322 -0.927 67.292
0.322 -0.927 67.292
0.327 -0.948 67.297
0.327 -0.947 67.285
0.335 -1.019 67.550
0.309 -0.923 67.310
0.342 -0.985 67.260
0.337 -0.979 67.299
0.337 -0.979 67.299
0.345 -1.028 67.523
0.339 -1.068 67.968
0.339 -1.068 67.968
0.360 -1.122 68.059
0.357 -1.158 68.408
0.357 -1.158 68.408
0.364 -1.180 68.391
0.364 -1.180 68.391
0.364 -1.180 68.391
0.364 -1.180 68.391
0.364 -1.180 68.391
0.364 -1.180 68.391
0.366 -1.156 68.294
0.380 -1.192 68.325
0.380 -1.192 68.325
0.380 -1.192 68.325
0.380 -1.192 68.325
0.402 -1.301 68.634
0.402 -1.301 68.634
0.402 -1.301 68.634
0.402 -1.301 68.634
0.384 -1.285 68.840
0.372 -1.247 68.731
0.375 -1.271 68.840
0.383 -1.314 68.941
0.387 -1.354 69.225
0.387 -1.354 69.225
0.386 -1.351 69.235
0.386 -1.351 69.235
0.386 -1.351 69.235
0.386 -1.351 69.235
0.386 -1.351 69.235
0.362 -1.238 68.766
0.351 -1.139 68.440
0.351 -1.139 68.440
0.351 -1.139 68.440
0.351 -1.139 68.440
0.353 -1.163 68.599
0.353 -1.163 68.599
0.356 -1.168 68.481
0.360 -1.173 68.457
0.354 -1.193 68.673
0.363 -1.280 69.161
0.380 -1.352 69.362
0.382 -1.355 69.199
0.382 -1.355 69.199
0.385 -1.404 69.482
0.385 -1.404 69.482
0.385 -1.404 69.482
0.385 -1.404 69.482
0.388 -1.371 69.157
0.388 -1.371 69.157
0.388 -1.365 69.120
0.388 -1.365 69.120
0.375 -1.213 68.737
0.344 -1.117 68.481
0.348 -1.149 68.792
0.357 -1.250 69.090
0.357 -1.250 69.086
0.352 -1.312 69.695
0.339 -1.228 69.355
0.318 -1.101 69.224
0.318 -1.101 69.224
0.318 -1.101 69.224
0.307 -1.033 69.094
0.321 -1.071 68.852
0.321 -1.071 68.852
0.317 -1.068 68.917
0.314 -1.061 68.987
0.336 -1.173 69.122
0.335 -1.168 69.124
0.353 -1.232 69.009
0.353 -1.232 69.009
0.356 -1.224 68.901
0.356 -1.224 68.901
0.362 -1.276 69.154
0.361 -1.228 68.753
0.361 -1.228 68.753
0.361 -1.228 68.753
0.361 -1.228 68.753
0.407 -1.435 69.055
0.407 -1.435 69.055
0.407 -1.435 69.055
0.407 -1.435 69.055
0.407 -1.435 69.055
0.421 -1.537 69.188
0.421 -1.537 69.188
0.421 -1.537 69.188
0.421 -1.537 69.188
0.401 -1.513 69.478
0.407 -1.520 69.349
0.407 -1.520 69.349
0.415 -1.573 69.508
0.415 -1.573 69.508
0.413 -1.515 69.198
0.413 -1.515 69.198
0.413 -1.515 69.198
0.412 -1.509 69.195
0.412 -1.509 69.195
0.412 -1.509 69.195
0.412 -1.509 69.195
0.380 -1.406 69.431
0.361 -1.275 69.003
0.364 -1.282 68.964
0.364 -1.282 68.964
0.367 -1.296 68.985
0.373 -1.306 68.870
0.373 -1.306 68.870
0.373 -1.306 68.870
0.356 -1.126 68.379
0.356 -1.126 68.379
0.338 -1.042 68.410
0.308 -0.966 67.924
0.308 -0.966 67.924
0.308 -0.966 67.924
0.308 -0.966 67.924
0.309 -0.967 67.930
0.317 -0.984 67.881
0.315 -0.965 67.794
0.328 -1.053 68.091
0.327 -1.050 68.078
0.327 -1.050 68.078
0.338 -1.104 68.251
0.338 -1.104 68.251
0.396 -1.308 68.844
0.396 -1.308 68.844
0.396 -1.308 68.844
0.396 -1.308 68.844
0.382 -1.299 68.946
0.382 -1.299 68.946
0.336 -1.166 68.710
0.336 -1.166 68.710
0.380 -1.384 69.486
0.380 -1.384 69.486
0.380 -1.384 69.486
0.380 -1.384 69.486
0.380 -1.384 69.486
0.380 -1.384 69.486
0.341 -1.188 68.783
0.341 -1.188 68.783
0.341 -1.188 68.783
0.341 -1.188 68.783
0.341 -1.188 68.783
0.341 -1.188 68.783
0.342 -1.189 68.786
0.348 -1.210 68.816
0.340 -1.177 68.689
0.318 -1.091 68.410
0.318 -1.091 68.410
0.318 -1.091 68.410
0.318 -1.091 68.410
0.340 -1.199 68.860
0.339 -1.205 68.811
0.339 -1.205 68.811
0.339 -1.204 68.806
0.339 -1.204 68.806
0.339 -1.204 68.806
0.338 -1.203 68.809
0.309 -1.023 68.185
0.309 -1.023 68.185
0.309 -1.023 68.185
0.309 -1.023 68.185
0.306 -1.011 68.120
0.316 -1.046 68.209
0.316 -1.046 68.209
0.317 -1.057 68.258
0.327 -1.056 68.079
0.324 -1.050 68.065
0.324 -1.050 68.065
0.324 -1.046 68.057
0.327 -1.060 68.088
0.327 -1.060 68.088
0.321 -1.034 67.961
0.321 -1.034 67.961
0.325 -1.046 68.013
0.322 -1.040 68.006
0.322 -1.040 68.006
0.322 -1.040 68.006
0.288 -0.962 67.954
0.288 -0.962 67.954
0.284 -0.947 67.941
0.284 -0.947 67.941
0.271 -0.894 67.839
0.243 -0.802 67.568
0.269 -0.882 67.683
0.269 -0.882 67.683
0.271 -0.886 67.693
0.271 -0.886 67.693
0.298 -0.912 67.348
0.353 -1.001 67.272
0.353 -1.001 67.272
0.353 -1.001 67.272
0.353 -1.001 67.272
0.347 -1.026 67.579
0.347 -1.026 67.579
0.353 -1.061 67.667
0.356 -1.085 67.724
0.363 -1.086 67.549
0.363 -1.085 67.546
0.359 -1.109 67.791
0.354 -1.100 67.812
0.361 -1.133 67.891
0.361 -1.133 67.891
0.355 -1.110 67.875
0.355 -1.110 67.875
0.362 -1.114 67.909
0.362 -1.114 67.909
0.364 -1.088 67.625
0.365 -1.097 67.643
0.369 -1.101 67.620
0.368 -1.076 67.463
0.368 -1.076 67.463
0.329 -0.985 67.428
0.329 -0.985 67.428
0.351 -1.042 67.462
0.346 -1.015 67.391
0.358 -1.090 67.901
0.362 -1.138 68.084
0.362 -1.138 68.084
0.362 -1.138 68.084
0.349 -1.125 68.276
0.349 -1.125 68.276
0.352 -1.144 68.397
0.326 -1.013 67.606
0.329 -1.018 67.594
0.320 -0.994 67.540
0.320 -0.994 67.540
0.364 -1.069 67.299
0.364 -1.069 67.299
0.368 -1.105 67.456
0.368 -1.105 67.456
0.368 -1.105 67.456
0.368 -1.105 67.456
0.362 -1.099 67.600
0.362 -1.099 67.600
0.365 -1.110 67.635
0.365 -1.110 67.635
0.365 -1.110 67.635
0.388 -1.175 67.871
0.388 -1.175 67.871
0.374 -1.128 67.646
0.341 -1.044 67.592
0.341 -1.044 67.592
0.359 -1.069 67.420
0.359 -1.069 67.420
0.359 -1.069 67.420
0.362 -1.148 67.982
0.362 -1.127 67.757
0.362 -1.127 67.757
0.362 -1.127 67.757
0.322 -0.936 67.455
0.285 -0.838 66.966
0.285 -0.838 66.966
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.294 -0.843 66.891
0.290 -0.819 66.758
0.299 -0.828 66.735
0.299 -0.828 66.735
0.299 -0.828 66.735
0.299 -0.828 66.735
0.299 -0.828 66.735
0.298 -0.815 66.643
0.298 -0.815 66.643
0.297 -0.805 66.575
0.297 -0.805 66.575
0.297 -0.805 66.575
0.297 -0.805 66.575
0.297 -0.805 66.575
0.316 -0.892 66.924
0.312 -0.897 67.075
0.309 -0.876 66.951
0.337 -1.045 67.671
0.337 -1.045 67.671
0.337 -1.045 67.671
0.326 -1.023 67.699
0.322 -1.015 67.760
0.336 -1.035 67.512
0.335 -1.034 67.509
0.322 -0.997 67.455
0.319 -0.983 67.363
0.319 -0.983 67.363
0.325 -1.019 67.658
0.325 -1.019 67.658
0.313 -0.968 67.523
0.313 -0.968 67.521
0.313 -0.968 67.521
0.306 -0.889 66.989
0.306 -0.896 67.060
0.271 -0.777 66.715
0.271 -0.777 66.715
0.271 -0.777 66.715
0.271 -0.777 66.715
0.316 -0.937 67.059
0.316 -0.937 67.059
0.316 -0.937 67.059
0.316 -0.937 67.059
0.316 -0.937 67.059
0.316 -0.937 67.059
0.322 -0.978 67.269
0.339 -1.047 67.457
0.346 -1.031 67.060
0.360 -1.060 66.984
0.323 -0.995 67.281
0.320 -1.009 67.664
0.281 -0.852 67.007
0.281 -0.852 67.007
0.287 -0.870 67.033
0.287 -0.870 67.033
0.287 -0.870 67.033
0.287 -0.870 67.033
0.311 -0.971 67.497
0.304 -0.938 67.381
0.303 -0.930 67.329
0.303 -0.930 67.329
0.299 -0.937 67.566
0.299 -0.937 67.566
0.299 -0.937 67.566
0.300 -0.939 67.556
0.300 -0.939 67.556
0.292 -0.899 67.341
0.292 -0.899 67.341
0.292 -0.899 67.341
0.291 -0.901 67.356
0.288 -0.890 67.268
0.288 -0.890 67.268
0.269 -0.834 67.061
0.269 -0.834 67.061
0.254 -0.823 67.276
0.254 -0.823 67.276
0.254 -0.823 67.276
0.254 -0.823 67.276
0.254 -0.823 67.276
0.255 -0.845 67.467
0.255 -0.845 67.467
0.251 -0.835 67.252
0.254 -0.846 67.444
0.201 -0.710 67.196
0.201 -0.710 67.196
0.204 -0.712 67.188
0.271 -0.861 67.339
0.271 -0.861 67.339
0.271 -0.861 67.339
0.315 -1.021 67.709
0.315 -1.021 67.709
0.315 -1.021 67.709
0.333 -1.097 68.008
0.333 -1.097 68.008
0.340 -1.123 68.206
0.225 -0.798 67.940
0.225 -0.798 67.940
0.234 -0.802 67.897
0.234 -0.802 67.897
0.234 -0.802 67.897
0.234 -0.802 67.897
0.234 -0.802 67.897
0.232 -0.799 67.939
0.260 -0.892 68.240
0.269 -0.890 68.024
0.269 -0.890 68.024
0.269 -0.890 68.024
0.260 -0.901 68.357
0.260 -0.901 68.357
0.260 -0.901 68.357
0.260 -0.901 68.357
0.260 -0.901 68.357
0.260 -0.901 68.357
0.260 -0.901 68.357
0.261 -0.905 68.353
0.265 -0.906 68.274
0.313 -1.002 68.121
0.307 -0.966 67.998
0.304 -0.960 67.977
0.304 -0.960 67.977
0.304 -0.960 67.977
0.307 -0.966 67.992
0.281 -0.901 67.861
0.290 -0.939 68.240
0.288 -0.932 68.293
0.288 -0.932 68.293
0.288 -0.932 68.293
0.288 -0.932 68.293
0.288 -0.932 68.293
0.288 -0.932 68.293
0.299 -0.971 68.214
0.299 -0.971 68.214
0.299 -0.971 68.214
0.299 -0.971 68.214
0.299 -0.971 68.214
0.299 -0.971 68.214
0.295 -0.962 68.163
0.278 -0.916 67.922
0.278 -0.916 67.922
0.278 -0.916 67.922
0.278 -0.916 67.922
0.256 -0.859 67.797
0.256 -0.859 67.797
0.253 -0.882 68.045
0.252 -0.867 67.915
0.226 -0.755 67.260
0.264 -0.882 67.865
0.264 -0.882 67.865
0.264 -0.882 67.865
0.249 -0.849 67.889
0.249 -0.849 67.889
0.249 -0.849 67.889
0.249 -0.849 67.889
0.249 -0.852 67.894
0.249 -0.852 67.894
0.249 -0.852 67.894
0.280 -0.921 67.799
0.280 -0.921 67.799
0.280 -0.921 67.799
0.253 -0.866 67.736
0.247 -0.848 67.716
0.230 -0.791 67.339
0.211 -0.736 67.226
0.211 -0.736 67.226
0.211 -0.736 67.226
0.211 -0.736 67.226
0.220 -0.728 67.044
