# acceptance rate 0.42
# Om   w   H0
0.739 -0.652 58.059
0.739 -0.652 58.059
0.739 -0.652 58.059
0.779 -0.749 57.733
0.779 -0.749 57.733
0.779 -0.750 57.681
0.779 -0.750 57.681
0.779 -0.750 57.681
0.779 -0.750 57.681
0.779 -0.750 57.681
0.776 -0.740 57.679
0.776 -0.740 57.679
0.776 -0.740 57.679
0.784 -0.910 57.939
0.784 -0.910 57.939
0.784 -0.910 57.939
0.784 -0.910 57.939
0.829 -0.929 57.440
0.829 -0.926 57.440
0.829 -0.926 57.440
0.833 -0.889 57.393
0.833 -0.889 57.393
0.833 -0.889 57.393
0.833 -0.889 57.393
0.833 -0.889 57.393
0.833 -0.889 57.393
0.828 -0.908 57.447
0.828 -0.908 57.447
0.810 -0.863 57.527
0.810 -0.863 57.527
0.806 -0.905 57.629
0.806 -0.899 57.618
0.806 -0.899 57.618
0.805 -0.896 57.626
0.816 -1.242 57.940
0.808 -1.215 57.959
0.808 -1.215 57.959
0.808 -1.215 57.959
0.808 -1.215 57.959
0.808 -1.215 57.959
0.808 -1.215 57.959
0.808 -1.215 57.959
0.798 -1.148 57.893
0.798 -1.148 57.893
0.798 -1.148 57.893
0.798 -1.148 57.893
0.798 -1.148 57.893
0.798 -1.148 57.893
0.798 -1.148 57.893
0.815 -1.170 57.875
0.815 -1.170 57.875
0.818 -1.193 57.883
0.818 -1.193 57.883
0.817 -1.143 57.809
0.817 -1.143 57.809
0.815 -1.124 57.817
0.815 -1.124 57.817
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.811 -1.017 57.663
0.817 -1.028 57.634
0.746 -0.885 57.525
0.771 -1.066 57.642
0.788 -1.020 57.617
0.788 -1.020 57.617
0.788 -1.020 57.617
0.788 -1.020 57.617
0.788 -1.020 57.617
0.788 -1.020 57.617
0.788 -1.020 57.617
0.799 -1.052 57.451
0.846 -1.187 57.343
0.846 -1.187 57.343
0.846 -1.187 57.343
0.842 -1.209 57.411
0.842 -1.209 57.411
0.842 -1.209 57.411
0.842 -1.209 57.411
0.842 -1.209 57.411
0.842 -1.209 57.411
0.833 -1.177 57.434
0.833 -1.177 57.434
0.833 -1.177 57.434
0.833 -1.177 57.434
0.833 -1.177 57.434
0.387 -0.644 60.913
0.387 -0.644 60.913
0.387 -0.644 60.913
