# acceptance rate 0.44
# Om   w   H0
0.772 -0.931 58.671
0.772 -0.931 58.671
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.830 -0.884 57.955
0.904 -0.944 57.136
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.904 -0.927 57.099
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.898 -0.725 57.204
0.905 -0.774 56.962
0.905 -0.774 56.962
0.905 -0.774 56.962
0.905 -0.774 56.962
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.898 -0.636 56.676
0.936 -0.927 56.330
0.945 -0.823 56.228
0.945 -0.823 56.228
0.945 -0.823 56.228
0.945 -0.823 56.228
0.945 -0.823 56.228
0.945 -0.823 56.228
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.942 -0.825 56.255
0.966 -0.862 56.126
0.966 -0.862 56.126
0.966 -0.862 56.126
0.966 -0.862 56.126
0.966 -0.862 56.126
0.966 -0.862 56.126
0.966 -0.862 56.126
0.960 -0.769 56.120
0.975 -0.958 55.906
0.975 -0.958 55.906
0.975 -0.958 55.906
0.975 -0.958 55.906
0.991 -0.981 55.935
0.991 -0.981 55.935
0.991 -0.981 55.935
0.991 -0.981 55.935
0.991 -0.981 55.935
0.991 -0.981 55.935
