# acceptance rate 0.41
# Om   w   H0
0.592 -0.398 58.212
0.592 -0.398 58.212
0.592 -0.398 58.212
0.576 -0.348 58.160
0.576 -0.348 58.160
0.639 -0.497 57.922
0.678 -0.478 57.712
0.678 -0.478 57.712
0.619 -0.470 58.150
0.633 -0.499 57.999
0.637 -0.504 57.991
0.621 -0.389 57.744
0.621 -0.389 57.744
0.616 -0.455 58.088
0.460 -0.332 57.940
0.460 -0.332 57.940
0.458 -0.329 57.944
0.353 -0.224 57.334
0.353 -0.224 57.334
0.353 -0.238 57.631
0.353 -0.238 57.631
0.353 -0.238 57.631
0.353 -0.238 57.631
0.353 -0.238 57.631
0.340 -0.232 57.613
0.340 -0.232 57.613
0.340 -0.232 57.613
0.450 -0.294 57.675
0.426 -0.258 57.601
0.426 -0.258 57.601
0.426 -0.258 57.601
0.254 -0.163 57.594
0.254 -0.163 57.594
0.179 -0.107 57.355
0.179 -0.107 57.355
0.179 -0.107 57.355
0.179 -0.107 57.355
0.179 -0.107 57.355
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.181 -0.106 57.334
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.185 -0.110 57.340
0.242 -0.155 57.453
0.242 -0.155 57.453
0.242 -0.155 57.453
0.242 -0.155 57.453
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.239 -0.147 57.372
0.251 -0.150 57.398
0.251 -0.150 57.398
0.258 -0.154 57.420
0.258 -0.154 57.420
0.258 -0.154 57.420
0.258 -0.154 57.420
0.258 -0.154 57.420
0.258 -0.154 57.420
0.247 -0.140 57.395
0.247 -0.140 57.395
0.247 -0.140 57.395
0.247 -0.140 57.395
0.247 -0.140 57.395
0.246 -0.130 57.330
0.348 -0.203 57.317
0.356 -0.210 57.334
0.356 -0.210 57.334
0.408 -0.210 57.078
0.408 -0.210 57.078
0.408 -0.210 57.078
0.408 -0.210 57.078
0.454 -0.280 57.569
0.530 -0.409 58.136
0.530 -0.409 58.136
0.531 -0.401 58.107
0.534 -0.407 58.107
0.534 -0.407 58.107
0.599 -0.451 58.207
0.616 -0.507 58.259
0.616 -0.507 58.259
0.574 -0.475 58.194
0.609 -0.508 58.294
0.596 -0.457 58.080
0.599 -0.440 57.798
0.577 -0.427 57.980
0.525 -0.369 57.798
0.526 -0.371 57.807
0.568 -0.390 57.737
0.581 -0.403 57.781
0.550 -0.304 57.591
0.550 -0.304 57.591
0.430 -0.316 58.107
0.430 -0.316 58.107
0.430 -0.316 58.107
0.430 -0.316 58.107
0.430 -0.316 58.107
0.430 -0.316 58.107
0.417 -0.277 58.124
0.417 -0.277 58.124
0.435 -0.293 58.258
0.533 -0.341 58.383
0.533 -0.341 58.383
0.533 -0.341 58.383
0.406 -0.287 58.258
0.406 -0.287 58.258
0.540 -0.326 58.289
0.544 -0.333 58.469
0.619 -0.541 58.320
0.690 -0.714 58.661
0.690 -0.714 58.661
0.690 -0.714 58.661
0.695 -0.722 58.555
0.657 -0.685 58.882
0.687 -0.716 58.854
0.687 -0.716 58.854
0.687 -0.716 58.854
0.687 -0.716 58.854
0.690 -0.698 58.695
0.670 -0.639 58.589
0.670 -0.639 58.589
0.646 -0.596 58.991
0.646 -0.596 58.991
0.566 -0.412 58.104
0.566 -0.412 58.104
0.566 -0.412 58.104
0.566 -0.412 58.104
0.573 -0.426 58.197
0.619 -0.477 58.441
0.621 -0.456 58.426
0.622 -0.458 58.437
0.622 -0.458 58.437
0.628 -0.463 58.474
0.581 -0.440 58.509
0.561 -0.456 58.850
0.561 -0.456 58.850
0.461 -0.356 58.455
0.508 -0.412 58.383
0.508 -0.412 58.383
0.531 -0.439 58.430
0.543 -0.502 58.766
0.543 -0.502 58.766
0.532 -0.446 58.466
0.487 -0.493 59.000
0.550 -0.521 58.635
0.550 -0.521 58.635
0.550 -0.493 58.566
0.549 -0.493 58.573
0.457 -0.311 58.759
0.396 -0.291 58.652
0.396 -0.291 58.652
0.396 -0.291 58.652
0.396 -0.291 58.652
0.410 -0.293 58.712
0.410 -0.293 58.712
0.428 -0.299 58.545
0.428 -0.299 58.545
0.428 -0.299 58.545
0.428 -0.299 58.545
0.405 -0.290 58.529
0.466 -0.314 58.261
0.466 -0.314 58.261
0.448 -0.304 58.332
0.448 -0.304 58.332
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.452 -0.318 58.445
0.463 -0.326 58.424
0.427 -0.300 58.441
0.427 -0.300 58.441
0.545 -0.354 58.301
0.578 -0.385 58.374
0.549 -0.375 58.399
0.535 -0.349 58.477
0.535 -0.349 58.477
0.554 -0.374 58.364
0.561 -0.412 58.364
0.561 -0.412 58.364
0.572 -0.467 58.800
0.572 -0.467 58.800
0.572 -0.467 58.800
0.593 -0.513 58.952
0.527 -0.441 58.544
0.492 -0.395 58.360
0.492 -0.395 58.360
0.597 -0.484 58.519
0.597 -0.482 58.508
0.597 -0.482 58.508
0.597 -0.482 58.508
0.550 -0.421 58.782
0.550 -0.421 58.782
0.550 -0.421 58.782
0.515 -0.384 58.642
0.515 -0.384 58.642
0.530 -0.413 58.603
0.500 -0.329 58.596
0.500 -0.329 58.596
0.500 -0.329 58.596
0.500 -0.329 58.596
0.482 -0.320 58.549
0.482 -0.320 58.549
0.482 -0.320 58.549
0.482 -0.320 58.549
0.472 -0.357 58.968
0.330 -0.293 58.732
0.296 -0.271 58.815
0.310 -0.277 58.847
0.321 -0.283 58.882
0.321 -0.283 58.882
0.321 -0.283 58.882
0.314 -0.273 58.798
0.314 -0.273 58.798
0.314 -0.273 58.798
0.314 -0.273 58.798
