# acceptance rate 12.69
# Om   w   H0   log_like
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.286 -0.967 68.110 -644.316
0.298 -0.987 68.569 -644.085
0.298 -0.987 68.569 -644.085
0.298 -0.987 68.569 -644.085
0.305 -0.948 68.029 -644.174
0.305 -0.948 68.029 -644.174
0.305 -0.948 68.029 -644.174
0.286 -0.899 67.880 -643.962
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.295 -0.910 67.445 -643.717
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.297 -0.959 67.819 -643.718
0.336 -1.067 68.676 -646.141
0.336 -1.067 68.676 -646.141
0.357 -1.057 67.588 -643.888
0.357 -1.057 67.588 -643.888
0.357 -1.057 67.588 -643.888
0.384 -1.138 68.071 -647.438
0.384 -1.138 68.071 -647.438
0.369 -1.090 67.796 -644.912
0.369 -1.090 67.796 -644.912
0.369 -1.090 67.796 -644.912
0.369 -1.090 67.796 -644.912
0.369 -1.090 67.796 -644.912
0.318 -1.073 68.974 -644.499
0.318 -1.073 68.974 -644.499
0.318 -1.073 68.974 -644.499
0.316 -1.078 68.805 -643.475
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.318 -1.053 68.652 -643.524
0.305 -1.062 68.431 -646.075
